scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time,model,error,time,tar_group.x,scenario_days,meanlog,sdlog,mean,sd,tar_group.y,distribution_stat,r,growth_rate
early outbreak,medium,400,Outbreak,38,1,"",4000,1,0,0,3,1449,0.36225,2.1,Dynamical and censoring adjusted,"",15,1,early outbreak (day 15),1.6,0.6,5.92985641859115,3.90349172318309,2,"Medium (mean: 5.9, sd: 3.9)",,
early outbreak,short,10,Outbreak,3,1,"",4000,1.02,1,0.00025,5,22,0.0055,0.9,Dynamical and censoring adjusted,"",15,1,early outbreak (day 15),1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",,
early outbreak,short,100,Outbreak,15,1,"",4000,1,0,0,3,1670,0.4175,1,Dynamical and censoring adjusted,"",15,1,early outbreak (day 15),1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",,
early outbreak,short,200,Outbreak,27,1,"",4000,1,0,0,3,1610,0.4025,1.3,Dynamical and censoring adjusted,"",15,1,early outbreak (day 15),1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",,
early outbreak,short,400,Outbreak,39,1,"",4000,1,0,0,3,1635,0.40875,2.1,Dynamical and censoring adjusted,"",15,1,early outbreak (day 15),1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",,
fast decay,long,200,Exponential,109,1,"",4000,1,0,0,4,62,0.0155,2.6,Dynamical and censoring adjusted,"",,,,1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",-0.2,Fast decay (-0.2)
fast decay,long,200,Exponential,110,2,"",4000,1.01,0,0,4,147,0.03675,2.9,Dynamical and censoring adjusted,"",,,,1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",-0.2,Fast decay (-0.2)
fast decay,long,200,Exponential,111,3,"",4000,1,0,0,4,89,0.02225,2.8,Dynamical and censoring adjusted,"",,,,1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",-0.2,Fast decay (-0.2)
fast decay,long,200,Exponential,112,4,"",,,,,,,,,Dynamical and censoring adjusted,Fitting failed. Unable to print.,,,,1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",-0.2,Fast decay (-0.2)
fast decay,long,200,Exponential,113,5,"",4000,1,0,0,4,7,0.00175,2.4,Dynamical and censoring adjusted,"",,,,1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",-0.2,Fast decay (-0.2)
fast decay,long,200,Exponential,114,6,"",4000,1,0,0,4,2,5e-04,2.5,Dynamical and censoring adjusted,"",,,,1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",-0.2,Fast decay (-0.2)
fast decay,long,200,Exponential,115,7,"",4000,1,0,0,4,7,0.00175,2.4,Dynamical and censoring adjusted,"",,,,1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",-0.2,Fast decay (-0.2)
fast decay,long,200,Exponential,116,8,"",4000,1.01,0,0,4,140,0.035,2.5,Dynamical and censoring adjusted,"",,,,1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",-0.2,Fast decay (-0.2)
fast decay,long,200,Exponential,117,9,"",4000,1,0,0,3,1601,0.40025,2.5,Dynamical and censoring adjusted,"",,,,1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",-0.2,Fast decay (-0.2)
fast decay,long,200,Exponential,118,10,"",4000,1.01,0,0,4,62,0.0155,2.4,Dynamical and censoring adjusted,"",,,,1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",-0.2,Fast decay (-0.2)
fast decay,long,200,Exponential,119,11,"",4000,1,0,0,4,6,0.0015,2.4,Dynamical and censoring adjusted,"",,,,1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",-0.2,Fast decay (-0.2)
