id,scenario,distribution,sample_size,data_type,parameter,mean,median,q2.5,q5,q20,q35,q65,q80,q95,q97.5
45,stable,short,10,exponential,sd,2.2,1.9,1,1.1,1.4,1.6,2.2,2.7,4.3,5.3
46,fast decay,long,100,exponential,meanlog,1.7,1.7,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.9
46,fast decay,long,100,exponential,sdlog,0.73,0.72,0.63,0.65,0.68,0.7,0.74,0.77,0.82,0.84
46,fast decay,long,100,exponential,mean,7.3,7.3,6.3,6.4,6.8,7,7.5,7.8,8.3,8.6
46,fast decay,long,100,exponential,sd,6.1,6,4.7,4.9,5.3,5.7,6.3,6.8,7.8,8.2
47,fast decay,medium,100,exponential,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.7,1.7,1.7,1.7
47,fast decay,medium,100,exponential,sdlog,0.61,0.6,0.53,0.54,0.57,0.59,0.62,0.64,0.68,0.7
47,fast decay,medium,100,exponential,mean,6.2,6.1,5.5,5.6,5.8,6,6.3,6.5,6.8,7
47,fast decay,medium,100,exponential,sd,4.1,4.1,3.3,3.4,3.7,3.9,4.3,4.5,5.1,5.3
48,fast decay,short,100,exponential,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.3
48,fast decay,short,100,exponential,sdlog,0.45,0.45,0.39,0.4,0.42,0.44,0.46,0.47,0.51,0.52
48,fast decay,short,100,exponential,mean,3.7,3.7,3.4,3.4,3.6,3.7,3.8,3.9,4,4.1
48,fast decay,short,100,exponential,sd,1.8,1.7,1.5,1.5,1.6,1.7,1.8,1.9,2.1,2.2
49,fast growth,long,100,exponential,meanlog,1.1,1.1,0.75,0.81,0.94,1,1.1,1.2,1.3,1.4
49,fast growth,long,100,exponential,sdlog,1.6,1.6,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.8
49,fast growth,long,100,exponential,mean,10,9.7,6.5,6.8,8,8.9,11,12,15,16
49,fast growth,long,100,exponential,sd,34,31,16,18,23,27,36,43,63,73
50,fast growth,medium,100,exponential,meanlog,1.3,1.3,1.2,1.2,1.2,1.3,1.3,1.3,1.4,1.4
50,fast growth,medium,100,exponential,sdlog,0.51,0.51,0.44,0.45,0.48,0.5,0.52,0.54,0.57,0.59
50,fast growth,medium,100,exponential,mean,4.1,4.1,3.7,3.7,3.9,4,4.2,4.3,4.5,4.6
50,fast growth,medium,100,exponential,sd,2.2,2.2,1.8,1.9,2,2.1,2.3,2.4,2.7,2.8
51,fast growth,short,100,exponential,meanlog,1.1,1.1,1,1.1,1.1,1.1,1.1,1.2,1.2,1.2
51,fast growth,short,100,exponential,sdlog,0.39,0.39,0.34,0.35,0.37,0.38,0.4,0.42,0.44,0.45
51,fast growth,short,100,exponential,mean,3.3,3.3,3.1,3.1,3.2,3.3,3.4,3.4,3.6,3.6
51,fast growth,short,100,exponential,sd,1.4,1.4,1.1,1.2,1.3,1.3,1.4,1.5,1.6,1.7
52,stable,long,100,exponential,meanlog,1.6,1.6,1.4,1.5,1.5,1.5,1.6,1.6,1.7,1.7
52,stable,long,100,exponential,sdlog,0.71,0.71,0.62,0.63,0.67,0.69,0.73,0.75,0.81,0.83
52,stable,long,100,exponential,mean,6.2,6.2,5.3,5.4,5.8,6,6.3,6.6,7.1,7.3
52,stable,long,100,exponential,sd,5.1,5,3.8,4,4.4,4.7,5.3,5.7,6.5,6.9
53,stable,medium,100,exponential,meanlog,1.4,1.4,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.6
53,stable,medium,100,exponential,sdlog,0.65,0.65,0.57,0.58,0.61,0.63,0.67,0.69,0.73,0.75
53,stable,medium,100,exponential,mean,5.1,5.1,4.5,4.6,4.8,5,5.3,5.5,5.8,5.9
