id,scenario,distribution,sample_size,data_type,parameter,mean,median,q2.5,q5,q20,q35,q65,q80,q95,q97.5
31,near peak,long,1000,outbreak,mean,7.5,7.5,6.7,6.8,7.1,7.3,7.7,7.9,8.4,8.5
31,near peak,long,1000,outbreak,sd,6.6,6.5,5.4,5.5,6,6.2,6.8,7.2,7.9,8.2
32,near peak,medium,1000,outbreak,meanlog,1.7,1.7,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.7
32,near peak,medium,1000,outbreak,sdlog,0.59,0.58,0.55,0.55,0.57,0.58,0.59,0.6,0.62,0.63
32,near peak,medium,1000,outbreak,mean,6.2,6.2,5.8,5.9,6,6.1,6.3,6.4,6.6,6.6
32,near peak,medium,1000,outbreak,sd,4,3.9,3.5,3.6,3.7,3.8,4.1,4.2,4.5,4.5
33,near peak,short,1000,outbreak,meanlog,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
33,near peak,short,1000,outbreak,sdlog,0.35,0.35,0.33,0.33,0.34,0.35,0.36,0.36,0.37,0.38
33,near peak,short,1000,outbreak,mean,3.5,3.5,3.4,3.4,3.5,3.5,3.5,3.6,3.6,3.6
33,near peak,short,1000,outbreak,sd,1.3,1.3,1.2,1.2,1.2,1.3,1.3,1.3,1.4,1.4
34,past peak,long,1000,outbreak,meanlog,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9
34,past peak,long,1000,outbreak,sdlog,0.77,0.77,0.72,0.73,0.75,0.76,0.78,0.79,0.82,0.82
34,past peak,long,1000,outbreak,mean,8.3,8.3,7.7,7.8,8,8.2,8.5,8.6,9,9.1
34,past peak,long,1000,outbreak,sd,7.6,7.5,6.5,6.6,7.1,7.3,7.8,8.1,8.6,8.9
35,past peak,medium,1000,outbreak,meanlog,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7
35,past peak,medium,1000,outbreak,sdlog,0.6,0.6,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64
35,past peak,medium,1000,outbreak,mean,6.1,6.1,5.8,5.9,6,6.1,6.2,6.3,6.4,6.4
35,past peak,medium,1000,outbreak,sd,4.1,4.1,3.7,3.7,3.9,4,4.1,4.2,4.4,4.5
36,past peak,short,1000,outbreak,meanlog,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
36,past peak,short,1000,outbreak,sdlog,0.38,0.38,0.36,0.37,0.38,0.38,0.39,0.39,0.4,0.41
36,past peak,short,1000,outbreak,mean,3.6,3.6,3.5,3.5,3.6,3.6,3.6,3.6,3.7,3.7
36,past peak,short,1000,outbreak,sd,1.4,1.4,1.3,1.4,1.4,1.4,1.5,1.5,1.5,1.5
37,fast decay,long,10,exponential,meanlog,1.6,1.6,1.2,1.3,1.5,1.6,1.7,1.8,1.9,2
37,fast decay,long,10,exponential,sdlog,0.51,0.47,0.29,0.31,0.38,0.42,0.52,0.61,0.84,0.96
37,fast decay,long,10,exponential,mean,6.2,5.7,4.2,4.4,5,5.3,6.1,6.6,8.4,10
37,fast decay,long,10,exponential,sd,21,2.8,1.5,1.7,2.1,2.4,3.2,4.1,7.6,11
38,fast decay,medium,10,exponential,meanlog,1.6,1.6,1.1,1.2,1.4,1.5,1.7,1.8,2.1,2.3
38,fast decay,medium,10,exponential,sdlog,0.72,0.64,0.39,0.42,0.5,0.57,0.73,0.88,1.3,1.5
38,fast decay,medium,10,exponential,mean,19,6.2,4.1,4.4,5.2,5.7,6.9,8.1,16,28
38,fast decay,medium,10,exponential,sd,9400,4.3,2.1,2.3,2.9,3.5,5.5,8.1,31,78
39,fast decay,short,10,exponential,meanlog,1.2,1.2,0.75,0.85,1.1,1.2,1.3,1.4,1.6,1.7
39,fast decay,short,10,exponential,sdlog,0.63,0.56,0.33,0.36,0.44,0.5,0.63,0.74,1.1,1.3
39,fast decay,short,10,exponential,mean,140000,4,2.7,2.9,3.4,3.7,4.4,4.9,7.3,11
39,fast decay,short,10,exponential,sd,4.5e+11,2.4,1.2,1.3,1.7,2,2.9,3.9,9.8,22
40,fast growth,long,10,exponential,meanlog,1.9,1.5,0.96,1,1.2,1.4,1.7,2.3,4.3,5.3
40,fast growth,long,10,exponential,sdlog,0.87,0.72,0.35,0.39,0.5,0.6,0.88,1.2,1.9,2.2
40,fast growth,long,10,exponential,mean,730000,5.8,3.1,3.4,4.1,4.8,8.3,19,410,2200
40,fast growth,long,10,exponential,sd,4.9e+09,4.7,1.3,1.5,2.2,3.1,8.9,32,2300,25000
41,fast growth,medium,10,exponential,meanlog,2,1.7,1.4,1.4,1.6,1.7,1.8,2,3.3,4.5
41,fast growth,medium,10,exponential,sdlog,0.57,0.45,0.25,0.27,0.33,0.39,0.54,0.68,1.3,1.7
41,fast growth,medium,10,exponential,mean,2.3e+07,6.3,4.4,4.6,5.2,5.7,7.1,9.5,59,290
41,fast growth,medium,10,exponential,sd,1.3e+11,2.8,1.3,1.4,1.9,2.3,4,7.2,120,1000
42,fast growth,short,10,exponential,meanlog,1.2,1.2,0.93,0.98,1.1,1.1,1.2,1.3,1.4,1.5
42,fast growth,short,10,exponential,sdlog,0.33,0.29,0.21,0.22,0.24,0.26,0.34,0.4,0.57,0.65
42,fast growth,short,10,exponential,mean,3.6,3.4,2.7,2.8,3.1,3.3,3.6,3.8,4.4,4.9
42,fast growth,short,10,exponential,sd,1.3,1,0.67,0.7,0.81,0.91,1.2,1.5,2.5,3.2
43,stable,long,10,exponential,meanlog,2.1,2,1.6,1.7,1.8,1.9,2.1,2.3,3.1,3.6
43,stable,long,10,exponential,sdlog,0.61,0.52,0.3,0.32,0.4,0.45,0.6,0.76,1.2,1.5
43,stable,long,10,exponential,mean,430,8.3,5.7,6,6.9,7.6,9.5,12,43,110
43,stable,long,10,exponential,sd,46000,4.5,2,2.2,2.9,3.6,6.1,10,76,320
44,stable,medium,10,exponential,meanlog,2.7,2.1,1.5,1.6,1.8,2,2.4,2.9,5.4,8.2
44,stable,medium,10,exponential,sdlog,0.97,0.77,0.38,0.42,0.54,0.64,0.96,1.3,2.1,2.8
44,stable,medium,10,exponential,mean,8.1e+15,11,5.6,6.1,7.5,8.8,17,42,1900,130000
44,stable,medium,10,exponential,sd,1.5e+22,9.9,2.6,2.9,4.4,6.4,20,82,16000,7600000
45,stable,short,10,exponential,meanlog,1.1,1.1,0.66,0.75,0.94,1,1.2,1.3,1.5,1.7
45,stable,short,10,exponential,sdlog,0.56,0.49,0.28,0.3,0.38,0.43,0.56,0.68,1,1.3
45,stable,short,10,exponential,mean,27,3.4,2.3,2.5,2.9,3.1,3.7,4.2,6.7,12
45,stable,short,10,exponential,sd,12000,1.7,0.84,0.92,1.2,1.4,2.1,2.9,8.7,24
46,fast decay,long,100,exponential,meanlog,1.8,1.8,1.6,1.7,1.7,1.8,1.8,1.9,2,2
46,fast decay,long,100,exponential,sdlog,0.77,0.76,0.63,0.65,0.7,0.73,0.79,0.83,0.91,0.95
46,fast decay,long,100,exponential,mean,8.4,8.2,6.7,6.9,7.4,7.8,8.6,9.1,10,11
46,fast decay,long,100,exponential,sd,7.6,7.2,4.9,5.2,6,6.6,7.9,8.9,11,13
47,fast decay,medium,100,exponential,meanlog,1.7,1.6,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8
47,fast decay,medium,100,exponential,sdlog,0.61,0.61,0.52,0.53,0.57,0.59,0.63,0.65,0.7,0.73
47,fast decay,medium,100,exponential,mean,6.3,6.3,5.5,5.6,5.9,6.1,6.4,6.7,7.1,7.3
47,fast decay,medium,100,exponential,sd,4.3,4.2,3.2,3.3,3.7,4,4.4,4.8,5.5,5.9
48,fast decay,short,100,exponential,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.3
48,fast decay,short,100,exponential,sdlog,0.42,0.41,0.35,0.36,0.39,0.4,0.43,0.44,0.48,0.49
48,fast decay,short,100,exponential,mean,3.7,3.7,3.4,3.4,3.6,3.6,3.8,3.9,4,4.1
48,fast decay,short,100,exponential,sd,1.6,1.6,1.3,1.3,1.5,1.5,1.7,1.8,2,2
49,fast growth,long,100,exponential,meanlog,2.1,2,1.7,1.7,1.8,1.9,2.1,2.3,2.6,2.8
49,fast growth,long,100,exponential,sdlog,0.78,0.76,0.58,0.6,0.67,0.72,0.81,0.88,1,1.1
49,fast growth,long,100,exponential,mean,13,10,6.3,6.7,7.9,8.9,11,14,24,31
49,fast growth,long,100,exponential,sd,15,8.8,4.1,4.6,6,7.4,11,15,32,47
50,fast growth,medium,100,exponential,meanlog,1.6,1.6,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.8
50,fast growth,medium,100,exponential,sdlog,0.54,0.54,0.42,0.44,0.48,0.51,0.56,0.6,0.66,0.7
50,fast growth,medium,100,exponential,mean,5.6,5.5,4.5,4.6,5,5.2,5.8,6.1,7,7.6
50,fast growth,medium,100,exponential,sd,3.4,3.2,2.1,2.2,2.6,2.9,3.5,4,5.1,5.9
51,fast growth,short,100,exponential,meanlog,1.3,1.3,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3
51,fast growth,short,100,exponential,sdlog,0.27,0.27,0.22,0.23,0.25,0.26,0.28,0.3,0.33,0.34
51,fast growth,short,100,exponential,mean,3.7,3.7,3.4,3.4,3.5,3.6,3.7,3.8,3.9,4
51,fast growth,short,100,exponential,sd,1,1,0.81,0.83,0.9,0.96,1.1,1.1,1.3,1.3
52,stable,long,100,exponential,meanlog,1.8,1.8,1.6,1.6,1.7,1.7,1.8,1.9,2,2.1
52,stable,long,100,exponential,sdlog,0.82,0.81,0.65,0.67,0.73,0.77,0.84,0.9,1,1.1
52,stable,long,100,exponential,mean,8.6,8.2,6.3,6.5,7.2,7.7,8.8,9.7,12,14
52,stable,long,100,exponential,sd,8.8,7.9,4.8,5.1,6.2,7,9,11,16,19
53,stable,medium,100,exponential,meanlog,1.5,1.5,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7
53,stable,medium,100,exponential,sdlog,0.65,0.65,0.54,0.56,0.59,0.62,0.67,0.7,0.77,0.81
53,stable,medium,100,exponential,mean,5.8,5.7,4.8,4.9,5.3,5.5,5.9,6.2,6.8,7.2
53,stable,medium,100,exponential,sd,4.3,4.1,3,3.1,3.5,3.8,4.4,4.9,6,6.6
54,stable,short,100,exponential,meanlog,1.2,1.2,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.3
54,stable,short,100,exponential,sdlog,0.42,0.42,0.35,0.36,0.38,0.4,0.43,0.45,0.49,0.51
54,stable,short,100,exponential,mean,3.5,3.5,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9
54,stable,short,100,exponential,sd,1.5,1.5,1.2,1.3,1.4,1.5,1.6,1.7,1.9,2
55,fast decay,long,1000,exponential,meanlog,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9
55,fast decay,long,1000,exponential,sdlog,0.8,0.8,0.75,0.76,0.78,0.79,0.81,0.82,0.84,0.85
55,fast decay,long,1000,exponential,mean,8.5,8.5,7.9,7.9,8.2,8.3,8.6,8.8,9.1,9.3
55,fast decay,long,1000,exponential,sd,8,8,6.9,7.1,7.5,7.7,8.2,8.6,9.2,9.4
56,fast decay,medium,1000,exponential,meanlog,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
56,fast decay,medium,1000,exponential,sdlog,0.59,0.59,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63
56,fast decay,medium,1000,exponential,mean,5.9,5.9,5.7,5.7,5.8,5.9,6,6,6.2,6.2
56,fast decay,medium,1000,exponential,sd,3.9,3.9,3.5,3.6,3.7,3.8,3.9,4,4.2,4.2
57,fast decay,short,1000,exponential,meanlog,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
57,fast decay,short,1000,exponential,sdlog,0.38,0.38,0.36,0.36,0.37,0.37,0.38,0.39,0.4,0.4
57,fast decay,short,1000,exponential,mean,3.5,3.5,3.4,3.4,3.5,3.5,3.5,3.5,3.6,3.6
57,fast decay,short,1000,exponential,sd,1.4,1.4,1.3,1.3,1.3,1.4,1.4,1.4,1.5,1.5
58,fast growth,long,1000,exponential,meanlog,1.7,1.7,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8
58,fast growth,long,1000,exponential,sdlog,0.73,0.72,0.67,0.68,0.7,0.71,0.74,0.75,0.78,0.79
58,fast growth,long,1000,exponential,mean,7.3,7.3,6.5,6.6,6.9,7.1,7.5,7.7,8.3,8.5
58,fast growth,long,1000,exponential,sd,6.1,6,4.9,5.1,5.5,5.8,6.3,6.7,7.5,7.8
59,fast growth,medium,1000,exponential,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6
59,fast growth,medium,1000,exponential,sdlog,0.54,0.54,0.51,0.51,0.52,0.53,0.55,0.56,0.58,0.58
59,fast growth,medium,1000,exponential,mean,5.6,5.6,5.2,5.3,5.4,5.5,5.7,5.8,5.9,6
