scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,min_ess_bulk,min_ess_tail,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
fast growth,medium,200,exponential,204,16,,4000,1,1107.03,942,0,0,7,120,0.03,14.6
fast growth,medium,200,exponential,205,17,,4000,1,958.65,773,0,0,7,54,0.0135,14.4
fast growth,medium,200,exponential,206,18,,3000,1,882.82,822,0,0,7,105,0.035,13
fast growth,medium,200,exponential,207,19,,4000,1,1150.31,904,0,0,7,202,0.0505,18
fast growth,medium,200,exponential,208,20,,4000,1,762.98,603,0,0,7,37,0.00925,13
fast growth,short,200,exponential,209,1,,4000,1,1089.54,930,0,0,7,79,0.01975,13.6
fast growth,short,200,exponential,210,2,,3000,1,737.62,773,0,0,7,63,0.021,14.9
fast growth,short,200,exponential,211,3,,4000,1,1086.97,781,0,0,7,87,0.02175,18.5
fast growth,short,200,exponential,212,4,,4000,1,1219.69,913,0,0,7,259,0.06475,20.5
fast growth,short,200,exponential,213,5,,4000,1,991.77,1164,0,0,7,110,0.0275,14
fast growth,short,200,exponential,214,6,,4000,1,1041.18,827,0,0,7,198,0.0495,16.7
fast growth,short,200,exponential,215,7,,4000,1,1010.67,1031,0,0,7,125,0.03125,13.3
fast growth,short,200,exponential,216,8,,3000,1,964.26,676,0,0,7,432,0.144,22.3
fast growth,short,200,exponential,217,9,,4000,1,1082,839,0,0,7,207,0.05175,15.7
fast growth,short,200,exponential,218,10,,4000,1,886.56,604,0,0,7,111,0.02775,15.3
fast growth,short,200,exponential,219,11,,4000,1,880.5,689,0,0,7,159,0.03975,17.6
fast growth,short,200,exponential,220,12,,4000,1,770.83,540,0,0,7,11,0.00275,11.9
fast growth,short,200,exponential,221,13,,4000,1,835.04,1023,0,0,7,97,0.02425,15.1
fast growth,short,200,exponential,222,14,,4000,1,1161.38,986,0,0,7,158,0.0395,14.7
fast growth,short,200,exponential,223,15,,4000,1,1097.19,697,0,0,7,185,0.04625,18.7
fast growth,short,200,exponential,224,16,,4000,1,931.75,832,0,0,7,35,0.00875,14.8
fast growth,short,200,exponential,225,17,,4000,1,1286.78,999,0,0,7,75,0.01875,15.5
fast growth,short,200,exponential,226,18,,4000,1,1144.33,1035,0,0,7,165,0.04125,16
fast growth,short,200,exponential,227,19,,4000,1,985.27,1064,0,0,7,181,0.04525,18.8
fast growth,short,200,exponential,228,20,,4000,1,1075.36,598,0,0,7,11,0.00275,12.5
growth,long,200,exponential,229,1,,4000,1,947.11,454,0,0,7,7,0.00175,13.6
growth,long,200,exponential,230,2,,4000,1,1079.21,889,0,0,7,4,0.001,12.1
growth,long,200,exponential,231,3,,4000,1,1132.23,909,0,0,6,696,0.174,13
growth,long,200,exponential,232,4,,3000,1,834.15,716,0,0,6,349,0.116333333333333,12.7
growth,long,200,exponential,233,5,,4000,1,1096.59,960,0,0,7,11,0.00275,13.8
growth,long,200,exponential,234,6,,4000,1,883.12,1065,0,0,7,3,0.00075,12.7
growth,long,200,exponential,235,7,,4000,1,1205.06,687,0,0,7,12,0.003,13
growth,long,200,exponential,236,8,,4000,1,1024.85,1233,0,0,7,25,0.00625,13.3
growth,long,200,exponential,237,9,,4000,1,1113.75,1013,0,0,7,64,0.016,14.4
growth,long,200,exponential,238,10,,4000,1,1199.43,645,0,0,7,7,0.00175,13.4
growth,long,200,exponential,239,11,,3000,1,633.98,545,0,0,6,259,0.0863333333333333,12
growth,long,200,exponential,240,12,,3000,1,732.22,338,0,0,7,30,0.01,13.4
growth,long,200,exponential,241,13,,4000,1,1276.91,1039,0,0,7,4,0.001,13.9
growth,long,200,exponential,242,14,,4000,1,981.79,1202,0,0,7,2,5e-04,12.5
growth,long,200,exponential,243,15,,4000,1,969.44,1182,0,0,7,5,0.00125,12.6
