scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
growth,short,200,exponential,273,5,,4000,1,0,0,3,1643,0.41075,1.1
growth,short,200,exponential,274,6,,4000,1,0,0,3,1479,0.36975,1.1
growth,short,200,exponential,275,7,,4000,1,0,0,3,1526,0.3815,1.1
growth,short,200,exponential,276,8,,4000,1,0,0,3,1644,0.411,1.1
growth,short,200,exponential,277,9,,4000,1,0,0,3,1516,0.379,1
growth,short,200,exponential,278,10,,4000,1,0,0,3,1648,0.412,1.1
growth,short,200,exponential,279,11,,4000,1,0,0,3,1563,0.39075,1.1
growth,short,200,exponential,280,12,,4000,1,0,0,3,1549,0.38725,1.1
growth,short,200,exponential,281,13,,4000,1,0,0,3,1528,0.382,1.1
growth,short,200,exponential,282,14,,4000,1,0,0,3,1697,0.42425,1.1
growth,short,200,exponential,283,15,,4000,1,0,0,3,1587,0.39675,1.1
growth,short,200,exponential,284,16,,4000,1,0,0,3,1535,0.38375,1.1
growth,short,200,exponential,285,17,,4000,1,0,0,3,1410,0.3525,1
growth,short,200,exponential,286,18,,4000,1,0,0,3,1672,0.418,1.1
growth,short,200,exponential,287,19,,4000,1,0,0,3,1363,0.34075,1.1
growth,short,200,exponential,288,20,,4000,1,0,0,3,1641,0.41025,1.1
stable,long,200,exponential,289,1,,4000,1,0,0,3,1426,0.3565,1.1
stable,long,200,exponential,290,2,,4000,1,0,0,3,1517,0.37925,1.1
stable,long,200,exponential,291,3,,4000,1,0,0,3,1610,0.4025,1.1
stable,long,200,exponential,292,4,,4000,1,0,0,3,1639,0.40975,1
stable,long,200,exponential,293,5,,4000,1,0,0,3,1538,0.3845,0.9
stable,long,200,exponential,294,6,,4000,1,0,0,3,1561,0.39025,1
stable,long,200,exponential,295,7,,4000,1,0,0,3,1738,0.4345,1.1
stable,long,200,exponential,296,8,,4000,1,0,0,3,1667,0.41675,1
stable,long,200,exponential,297,9,,4000,1.01,0,0,3,1650,0.4125,1
stable,long,200,exponential,298,10,,4000,1,0,0,3,1720,0.43,1.1
stable,long,200,exponential,299,11,,4000,1,0,0,3,1658,0.4145,1.1
stable,long,200,exponential,300,12,,4000,1,0,0,3,1591,0.39775,1.1
stable,long,200,exponential,301,13,,4000,1,0,0,3,1488,0.372,1.1
stable,long,200,exponential,302,14,,4000,1,0,0,3,1623,0.40575,1
stable,long,200,exponential,303,15,,4000,1,0,0,3,1512,0.378,1
stable,long,200,exponential,304,16,,4000,1,0,0,3,1491,0.37275,1
stable,long,200,exponential,305,17,,4000,1,0,0,3,1602,0.4005,1.1
stable,long,200,exponential,306,18,,4000,1,0,0,3,1444,0.361,1
stable,long,200,exponential,307,19,,4000,1,0,0,3,1689,0.42225,1.1
stable,long,200,exponential,308,20,,4000,1,0,0,3,1659,0.41475,1.1
stable,medium,200,exponential,309,1,,4000,1,0,0,3,1530,0.3825,1.1
stable,medium,200,exponential,310,2,,4000,1,0,0,3,1470,0.3675,1
stable,medium,200,exponential,311,3,,4000,1,0,0,3,1555,0.38875,1.1
stable,medium,200,exponential,312,4,,4000,1,0,0,3,1441,0.36025,1.1
stable,medium,200,exponential,313,5,,4000,1,0,0,3,1530,0.3825,1.1
